state,year,assets,liabilities,debt,fundedRatio,changeInFundedRatio,fundedRank,arc,actual,shortfall,percentPaid
Alabama,2013,29419597.00,44616643.00,15197052.00,0.66,0.00,30.00,980614.00,980614.00,0.00,1.00
Alaska,2013,9830273.00,18779068.00,8948795.00,0.52,-0.02,47.00,652978.00,588882.00,64096.00,0.90
Arizona,2013,38206174.00,53313693.00,15107518.00,0.72,0.00,24.00,1350144.00,1350144.00,0.00,1.00
Arkansas,2013,20113374.00,26999917.00,6886543.00,0.75,0.03,20.00,742059.00,695567.00,46492.00,0.94
California,2013,440670471.00,610304199.00,169633728.00,0.72,-0.05,23.00,16222320.00,11348776.00,4873544.00,0.70
Colorado,2013,41122833.00,66920789.00,25797956.00,0.62,-0.02,37.00,1402624.00,1102081.00,300543.00,0.79
Connecticut,2013,23693972.00,48949911.00,25255939.00,0.48,-0.01,48.00,1863194.00,1861655.00,1539.00,1.00
Delaware,2013,8171825.00,9262484.00,1090659.00,0.88,0.00,8.00,211532.00,208339.00,3193.00,0.99
Florida,2013,131900961.00,163144420.00,31243459.00,0.81,-0.01,10.00,2631174.00,1707860.00,923314.00,0.65
Georgia,2013,71845410.00,90504321.00,18658911.00,0.79,-0.01,16.00,1567656.00,1568400.00,-744.00,1.00
Hawaii,2013,12748800.00,21243700.00,8494900.00,0.60,0.01,40.00,667142.00,581447.00,85695.00,0.87
Idaho,2013,12472519.00,14574790.00,2102271.00,0.86,0.01,9.00,300105.00,302304.00,-2199.00,1.01
Illinois,2013,64957276.00,165458123.00,100500847.00,0.39,-0.01,50.00,7015247.00,5893783.00,1121464.00,0.84
Indiana,2013,27783243.00,42911034.00,15127790.00,0.65,0.04,33.00,1654344.00,1981356.00,-327012.00,1.20
Iowa,2013,25157891.00,31175536.00,6017645.00,0.81,0.01,11.00,641718.00,622272.00,19446.00,0.97
Kansas,2013,14562765.00,24328670.00,9765906.00,0.60,0.03,42.00,825197.00,618898.00,206299.00,0.75
Kentucky,2013,18572736.00,42044122.00,23471386.00,0.44,-0.03,49.00,1351435.00,907037.00,444397.00,0.67
Louisiana,2013,26377183.00,45401756.00,19024572.00,0.58,0.02,44.00,2037367.00,1947843.00,89523.00,0.96
Maine,2013,11451994.00,14394317.00,2942323.00,0.80,0.01,15.00,291503.00,291503.00,0.00,1.00
Maryland,2013,39544735.00,60536766.00,20992031.00,0.65,0.01,32.00,2179666.00,1667719.00,511947.00,0.77
Massachusetts,2013,45894034.00,74736194.00,28842160.00,0.61,0.01,38.00,1963268.00,1576235.00,387033.00,0.80
Michigan,2013,48925811.00,81699846.00,32774035.00,0.60,-0.01,41.00,2614804.00,2024762.00,590043.00,0.77
Minnesota,2013,47953245.00,64209183.00,16255938.00,0.75,0.00,19.00,1364221.00,973640.00,390581.00,0.71
